name,category,price,quantity,description
Микроконтроллер Arduino Uno,Микроконтроллеры,650,50,Популярная плата Arduino Uno на базе ATmega328P
Резистор 10 кОм,Резисторы,5,1000,Резистор 10 кОм 0.25Вт 5%
Конденсатор 100 мкФ,Конденсаторы,15,500,Электролитический конденсатор 100 мкФ 25В
Светодиод красный,Светодиоды,3,2000,Светодиод 5мм красный яркий
Транзистор BC547,Транзисторы,8,300,Транзистор BC547 NPN 45В 100мА
Датчик температуры DS18B20,Датчики,120,50,Цифровой датчик температуры DS18B20 с точностью ±0.5°C
Модуль памяти EEPROM AT24C256,Память,80,30,Модуль EEPROM памяти AT24C256 256Кбит
Разъем USB Type-C,Разъемы,25,100,Разъем USB Type-C SMD для печатных плат
Макетная плата 830 точек,Печатные платы,180,20,Макетная плата 830 точек для прототипирования
Паяльник 60Вт,Инструменты,450,15,Паяльник 60Вт с регулировкой температуры
Набор для робота-манипулятора,Робототехника,1200,5,Набор для сборки робота-манипулятора с сервоприводами
Книга "Основы электроники",Литература,800,10,Книга "Основы электроники для начинающих" с практическими примерами
